name,type,contract,description,url,match_name
Uniswap,DeFi DEX,0x1F98431c8aD98523631AE4a59f267346ea31F984,Leading decentralized exchange,https://uniswap.org,Tensor
Aave,DeFi Lending,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,Decentralized lending and borrowing platform,https://aave.com,Magic Eden
Curve,DeFi AMM,0xD533a949740bb3306d119CC777fa900bA034cd52,Automated market maker optimized for stablecoins,https://curve.fi,Jupiter
MakerDAO,DeFi Stablecoin,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,Decentralized stablecoin protocol (DAI),https://makerdao.com,Magic Eden
Compound,DeFi Lending,0xc00e94Cb662C3520282E6f5717214004A7f26888,Lending protocol for earning interest,https://compound.finance,Solend
OpenSea,NFT Marketplace,,Largest NFT marketplace,https://opensea.io,Orca
Blur,NFT Marketplace,,NFT trading platform with pro tools,https://blur.io,Jupiter
LooksRare,NFT Marketplace,0x5924A28caAF1cc016617874a2f0C3710d881f3c1,Community-first NFT marketplace,https://looksrare.org,Token Program
X2Y2,NFT Marketplace,0x74312363e45DCaBA76c59ec49a7Aa8A65a67EeD3,Decentralized NFT marketplace,https://x2y2.io,Vote Program
Sudowap,NFT AMM,0x2B2e8cDA09bBA9660dCA5cB6233787738Ad68329,Automated NFT liquidity protocol,https://sudoswap.xyz,Serum
